COMMAND: docker builder du
--- OUTPUT ---
ID                           RECLAIMABLE   SIZE       LAST ACCESSED
u2bzugnfodgp7b5idhq8bg1ip    true          4.128kB    22 hours ago
06y3lcowafnygwwrue4hmtvh2*   true          8.192kB    21 hours ago
1kuup2i2sxmd0915efzvawgxq*   true          8.192kB    22 hours ago
2mvmhldw39c5izgfjr113name*   true          8.192kB    22 hours ago
555lntnyb62qhemh9zjctuj0b*   true          8.192kB    21 hours ago
57ayqo2vdt3y5s5lfqm7bewqd*   true          8.192kB    21 hours ago
7z8j75mjrzpr3v3o1l6r739uk*   true          8.192kB    21 hours ago
87uhmcuizklp9nrkxafti5q97*   true          8.192kB    22 hours ago
cf8h7u6ql72nsn2b31ksek3kn    true          8.192kB    22 hours ago
cgkokrcmuz3vckag8928f3enk*   true          8.192kB    22 hours ago
eyb73a9oer1s23nvnwtcx3lbz*   true          8.192kB    26 hours ago
hrusdq10ozvo4xluuhdpo6ixv*   true          8.192kB    21 hours ago
hxs7h25lemahccuhdny2l5f92*   true          8.192kB    26 hours ago
juj234z5mpbvdgppni0zkhrcv*   true          8.192kB    21 hours ago
kzqv73v29mnjfy4ad9i1f9sui*   true          8.192kB    22 hours ago
qiz0yr71qhj2t3puaz9rnjz2z*   true          8.192kB    26 hours ago
yn7mfm7alugy4z3a8two26ilu*   true          8.192kB    26 hours ago
yttfn330xvovfv8db6rxwywfl*   true          8.192kB    22 hours ago
j7rxwp9wtopu8sjh4sqw1gba6    true          8.284kB*   26 hours ago
ioqkm70f4dwqjadupmznys6ec    true          8.285kB*   22 hours ago
mql9wgwnwfua24l2xa80arrsi    true          8.606kB    26 hours ago
qyknplzgdo6svp9foymjuibsh    true          12.7kB     21 hours ago
de3xrxrc8caj3kxi66dgxc9an    true          13.01kB    26 hours ago
2dg0xgtridozl8k7ty3gwsw0s    true          13.11kB*   26 hours ago
sa40btbewletfvad4m204c9lj    true          13.57kB    26 hours ago
s6byov9z305fan83owoetqfmw    true          16.38kB    22 hours ago
yfrbdwro6h6ncgdgugezidusz    true          16.51kB    22 hours ago
4yzirgfljt7tnulv3yzoqidbe    true          18.56kB*   21 hours ago
19ws577xpit464i4fmkdrtr7z    true          20.93kB*   26 hours ago
1bfsaf2bmn6v89sxazbd37j7o    true          29.5kB     26 hours ago
wl8kcn1xqqyr2r5ocik5jionb    true          46.02kB*   22 hours ago
8j1pfx9z8eeuolip4d6nb99gr*   true          73.73kB    21 hours ago
m1lz2r5svgr2h3lsro1dng320*   true          73.73kB    22 hours ago
i46looypnyncl3c8j3nr2gjzk    true          77.82kB    22 hours ago
siva4l8x7cnjz7we24xrqmoc5    true          77.82kB    21 hours ago
9jq4kxc8doxf3ja4r39agop16    true          282.6kB    26 hours ago
iertw3u2tgmjzmu44tj0wm1ae    true          307.2kB    26 hours ago
p88d5bnghb04an32bs5u28pkz    true          663.9kB*   26 hours ago
e8dom7jh4q91rw6m7jwvoc9x3    true          1.765MB    22 hours ago
ddaj3qiqcvdkz5edirywr8be6*   true          2.798MB    26 hours ago
w60pl9hi0gte5q1fnholv10r2*   true          2.798MB    21 hours ago
y59x6kongtln7jyoff3cpj1sw*   true          2.798MB    22 hours ago
rncsophoziamntiyza3of5mzx    true          2.802MB    26 hours ago
mq3rkyu0772ypt7yfgj3tx0d9    true          3.846MB*   26 hours ago
nq6t0f6j8rkejibhk1pwzbqep    true          6.743MB*   26 hours ago
y3qxua5aa70hql6dt5fahifsf    true          6.814MB    26 hours ago
2h3vt9tsbc3u6x54fm9a2k0si*   true          7.152MB    26 hours ago
fe4etgc7k1qfhntojk363zobs*   true          7.152MB    21 hours ago
uy1m90xpgg9oili2nrrw4ug46*   true          7.152MB    22 hours ago
wt2in2n92zb7danzke1wvcobo    true          7.156MB    26 hours ago
x6kspb5x6x9oe9h7gcwzdhh05    true          12.1MB*    22 hours ago
qv74rc5kgwz49ect1xrra9w5x    true          12.15MB    22 hours ago
50unz5r32olspkgzo4gw1kn40    true          12.31MB    26 hours ago
yck6ozfztnvurcggefygfp94i    true          12.74MB*   21 hours ago
hffu437faqerqhyqmh45paktg    true          13MB       26 hours ago
jpfzuq7aoyju2wb2t9by2nv7g    true          15.66MB*   26 hours ago
gossimanp29qqa6n005la5al5*   true          17.08MB    26 hours ago
ppehzxg1jrhphs7lvjcc3l4n9*   true          17.24MB    26 hours ago
bkhmbg9k6l6p9i2qblbduuhye    true          20.89MB*   26 hours ago
felhqm3a97knnqbrojjctyjja    true          21.66MB    26 hours ago
u11gftoxlo1i5mww2gtskpv0f    true          30.95MB*   26 hours ago
kjbtmhtszymmt44i3quwc1npy    true          42.68MB    21 hours ago
ysowddc28usaorkz5pdox7lst    true          63MB       21 hours ago
mofjgx3dzqztyg9mzk3wcxb84*   true          123.5MB    22 hours ago
s3e9hl46tzszko91wdan43543*   true          123.5MB    21 hours ago
xvxykfwl2hc4c3acuq382pwa8    true          212.2MB*   26 hours ago
qozn50a3949b2j8pdp3fvwvvv*   true          272.8MB    26 hours ago
igbbrij514kl2caesejkhm2qa    true          303.9MB    26 hours ago
okw0u6hljopbtfg67gmtiww05    true          334.5MB    22 hours ago
vrk6cnwt53clix1daabjvf7is    true          398.3MB    26 hours ago
yq07t6s3ay1isphpdbna0htwn*   true          556.9MB    26 hours ago
ag2ownxsekns0zil8a5y05kf7    true          563.4MB*   26 hours ago
ylrp1ltbsidflrbynax92c7ah    true          689.4MB    26 hours ago
Shared:		879.3MB
Private:	3.051GB
Reclaimable:	3.931GB
Total:		3.931GB
