COMMAND: docker ps --no-trunc
--- OUTPUT ---
CONTAINER ID                                                       IMAGE                                                                       COMMAND                                                                                                                                                                                                                                                     CREATED        STATUS                  PORTS                                                             NAMES
0cb8960b9f6ae035f037a6633f5849e997900995624e0036b0bcc37ccd9dc4d7   ghcr.io/nabilrn/mypaas-api:b94361be993963c0ad04a5c3a76130bc8d8ef8ee         "/app/mypaas-api"                                                                                                                                                                                                                                           20 hours ago   Up 20 hours             127.0.0.1:8080->8080/tcp                                          mypaas-api
a9e244fc828600eb65aad15c90aab9bd1b04343e1a6cc9e30eee49b0fea73a10   ghcr.io/nabilrn/mypaas-dashboard:b94361be993963c0ad04a5c3a76130bc8d8ef8ee   "docker-entrypoint.sh node build"                                                                                                                                                                                                                           20 hours ago   Up 20 hours             127.0.0.1:3000->3000/tcp                                          mypaas-dashboard
8e1c2670605f1f17f5008b9f6c6f7855637963465cabdccce05fd86819167f72   mypaas/mypaas-sample-crud-db-app:f13adc38c130                               "/app/app"                                                                                                                                                                                                                                                  21 hours ago   Up 21 hours             172.18.0.1:3004->8080/tcp                                         mypaas-mypaas-sample-crud-db-app-1
7d8992df33858df0fb45010219fbaf0c87541c2f09cc7262d12cc963c0e5a55f   mypaas/sop-generate-app-frontend:e234e71d57c2                               "docker-entrypoint.sh /docker-entrypoint.sh"                                                                                                                                                                                                                21 hours ago   Up 21 hours (healthy)   172.18.0.1:3001->8080/tcp                                         mypaas-sop-generate-app-frontend-1
36f305d7123f13e5bf0b2f2ed23f195a8095172d7b049665150e0407e54dd366   sop-arsip-backend:local                                                     "docker-entrypoint.sh sh -c 'set -eu\npnpm prisma migrate deploy\nnode dist/src/database/seed/seed-initial.js\nexec pnpm start:prod\n'"                                                                                                                     21 hours ago   Up 21 hours (healthy)   3001/tcp                                                          mypaas-sop-generate-app-backend-1
a98d8d3bc6816b6e77fafeb298f53d35c657e13bf9d467177012da5ca3e15c02   postgres:16-alpine                                                          "docker-entrypoint.sh postgres"                                                                                                                                                                                                                             22 hours ago   Up 22 hours (healthy)   5432/tcp                                                          mypaas-mypaas-sample-crud-db-db-1
37df64b936078996aa44e57a92dbe09636a51aba4b26eb2a87c4958d97337b6e   mariadb:11.4                                                                "docker-entrypoint.sh --lower_case_table_names=1"                                                                                                                                                                                                           22 hours ago   Up 22 hours (healthy)   3306/tcp                                                          mypaas-sop-generate-app-db-1
07b96e52b989992fa7be50060542b2dd3f61202d9c1ff359423be46a8614753a   cloudflare/cloudflared:latest                                               "cloudflared --no-autoupdate tunnel --no-autoupdate run --token eyJhIjoiNGJmZGFjZTEzYThmNTU4ZjA2NmVhNmU5M2UzZDQxZDgiLCJ0IjoiZmFmOGUwMTctZDA0Yi00NjQ3LWFkZDQtOTQ0YWJjOGY1OTJiIiwicyI6Ik5qYzVORFE0TmprdE1EWmpaaTAwTnpGbUxXRTVaR0V0T1RSa01USXlZelkxWkRjdyJ9"   26 hours ago   Up 26 hours                                                                               mypaas-cloudflared
a1ff2e04b78aa24a1f843a72740dca5fdf6dd73df78e96f072d107fec8f2b910   caddy:2-alpine                                                              "caddy run --config /etc/caddy/Caddyfile --adapter caddyfile"                                                                                                                                                                                               2 days ago     Up 2 days               443/tcp, 0.0.0.0:80->80/tcp, [::]:80->80/tcp, 2019/tcp, 443/udp   mypaas-caddy-prod
25aad6a88c64c5f9a88fec332b535d1b77325b48d27ce73c7b884690aeb9042c   postgres:16-alpine                                                          "docker-entrypoint.sh postgres"                                                                                                                                                                                                                             2 days ago     Up 2 days (healthy)     127.0.0.1:5432->5432/tcp                                          mypaas-postgres-prod
6dfdddef163fdd49746a5a76965e8f748028585d5da9fd5fb7e98755554f4f04   mypaas/network-rookie-frontend:ca45857ba012                                 "/docker-entrypoint.sh nginx -g 'daemon off;'"                                                                                                                                                                                                              4 days ago     Up 4 days (healthy)     172.18.0.1:3003->80/tcp                                           mypaas-network-rookie-frontend-1
d0ca02df67723ee505c99528ef1c182eafd5d2c1ee6dbe732dda77d811a6ff8c   mypaas-network-rookie-backend                                               "docker-entrypoint.sh node server/server.mjs"                                                                                                                                                                                                               4 days ago     Up 4 days (healthy)     3001/tcp                                                          mypaas-network-rookie-backend-1
6e805a08c4447353615c7b0f0b0f47f92660b857ca4a224d2042e790ebc1925b   mypaas/sumbar-smart-portal:dfb477eef494                                     "docker-entrypoint.sh node server.js"                                                                                                                                                                                                                       4 days ago     Up 4 days               172.18.0.1:3006->3000/tcp                                         mypaas-sumbar-smart-portal
